date,population,admission,release
2022-04-06,104487.01126492841,2696.764415519411,3122.9711730982285
2022-04-07,104164.80450734959,2799.7736747786707,2751.9063582834137
2022-04-08,104024.74589791894,2611.847748852745,2671.4813582834136
2022-04-09,104186.64562182159,2831.014415519411,1121.9480249500805
2022-04-10,104821.04534572424,1759.6810821860777,1370.2813582834133
2022-04-11,105169.27840296026,1719.1810821860777,3082.662310664366
2022-04-12,104663.72574591053,2575.1096536146492,2951.407048794567
2022-04-13,104465.46408249762,2778.421449992525,2686.98627130017
2022-04-14,104268.29961206717,2490.8196956065603,2806.984166037012
2022-04-15,104101.13514163673,2642.319695606561,2099.5157449843805
2022-04-16,104517.12891682032,2520.4989938521744,1253.5052186685907
2022-04-17,105112.62269200389,1848.9989938521744,1117.005218668591
2022-04-18,105483.61646718746,1485.4489938521742,2939.862907476598
2022-04-19,104963.74824661734,2474.534025699308,2883.473674840869
2022-04-20,104809.80859747579,2730.391168556451,2882.3308176980117
2022-04-21,104464.36894833422,2536.2245018897843,2936.8863732535674
2022-04-22,104388.81818808154,2858.6689463342286,2342.469706586901
2022-04-23,104888.51742782888,2842.9189463342286,1204.7197065869004
2022-04-24,105477.21666757618,1794.9189463342282,1432.7197065869004
2022-04-25,105832.41590732354,1785.2046606199428,3597.802315282553
2022-04-26,105101.98906011436,2867.2596295640424,2564.8650482018074
2022-04-27,105095.38364147658,2560.2596295640424,2920.031714868474
2022-04-28,104885.44488950547,2710.0929628973754,2862.031714868474
2022-04-29,104583.67280420104,2557.259629564042,2710.7317148684742
2022-04-30,104914.60071889662,3041.959629564042,1146.6855610223204
2022-05-01,105532.0286335922,1765.9596295640422,1328.5317148684737
2022-05-02,105878.2898816211,1674.7929628973752,3255.531714868474
2022-05-03,105105.21779631665,2482.459629564042,2610.531714868474
2022-05-04,105192.14571101221,2697.459629564042,3035.781714868474
2022-05-05,104834.1236257078,2678.426296230709,2913.448381535141
2022-05-06,104874.93487373668,2954.2596295640424,2430.448381535141
2022-05-07,104960.2461217656,2515.7596295640424,1260.7817148684737
2022-05-08,105630.55736979448,1930.3429628973754,1355.1567148684737
2022-05-09,105967.74361782339,1692.3429628973754,3043.4900482018074
2022-05-10,105380.76319918563,2457.176296230709,2977.656714868474
2022-05-11,105194.28278054786,2791.676296230709,2708.67374893661
2022-05-12,104963.76027774176,2481.6452341064605,2765.0010702458953
2022-05-13,104775.73777493567,2575.2990802603067,2575.674478485596
2022-05-14,105014.72650808463,2816.658717252528,1181.1699841035734
2022-05-15,105764.71524123356,1931.1587172525274,1293.6699841035731
2022-05-16,106262.37064104919,1793.8253839191943,2973.0449841035734
2022-05-17,105905.40104086482,2615.575383919195,2908.362813560938
2022-05-18,105663.2453941688,2667.5839110509773,2804.0102116544804
2022-05-19,105342.57539340583,2483.33781854699,2923.314521316798
2022-05-20,105078.43656770278,2706.6531662688126,2394.7919919718533
2022-05-21,105405.04774199973,2725.9864996021456,1158.3753253051864
2022-05-22,106005.15891629668,1762.986499602146,1425.3753253051864
2022-05-23,106386.77009059367,1806.986499602146,3283.8753253051864
2022-05-24,105667.38126489062,2572.986499602146,2775.375325305187
2022-05-25,105366.99243918757,2473.486499602146,2588.4929723640103
2022-05-26,105267.60361348455,2490.986499602146,2790.875325305187
2022-05-27,104979.2147877815,2502.486499602146,2529.875325305187
2022-05-28,105099.32596207845,2649.986499602146,1138.8753253051864
2022-05-29,105907.9371363754,1947.486499602146,1319.3753253051864
2022-05-30,106268.04831067238,1679.486499602146,1289.2086586385196
2022-05-31,106796.99281830271,1817.8198329354796,3683.875325305187
2022-06-01,106264.93732593296,3147.2364996021465,3105.125325305187
2022-06-02,105870.63183356325,2710.8198329354796,3052.625325305187
2022-06-03,105564.99300786022,2746.986499602146,2673.625325305187
2022-06-04,105664.35418215717,2772.9864996021456,1128.4586586385199
2022-06-05,106315.71535645414,1780.486499602146,1380.6253253051864
2022-06-06,106684.57653075112,1749.486499602146,3139.1253253051864
2022-06-07,106048.43770504804,2499.477727672321,2884.4586586385203
2022-06-08,105868.75721267833,2704.778166268813,2835.7919919718533
2022-06-09,105666.41005364196,2633.4448329354796,2744.700885681181
2022-06-10,105415.48480349932,2496.7691279463256,2476.69437808899
2022-06-11,105741.05955335664,2799.4455985345608,1167.1110447556564
2022-06-12,106334.80096988066,1763.1024612796587,1403.3610447556566
2022-06-13,106717.54238640465,1786.1024612796587,2969.3610447556566
2022-06-14,106125.28380292864,2377.1024612796587,2743.3610447556566
2022-06-15,105856.02521945267,2471.852461279659,2736.796451454221
2022-06-16,105367.23314315369,2431.568968456693,2749.3610447556566
2022-06-17,105364.94106685472,2747.068968456693,2343.361044755657
2022-06-18,105471.64899055575,2448.7356351233593,1222.5277114223231
2022-06-19,106136.85691425679,1889.0689684566923,1081.8610447556564
2022-06-20,106486.73150462446,1431.235635123359,2054.3610447556566
2022-06-21,106554.1060949922,2120.402301790026,2824.482256876869
2022-06-22,106145.48559936482,2435.150868538593,2711.7713641659757
2022-06-23,105940.19843707077,2506.484201871926,2678.7713641659757
2022-06-24,105822.41127477674,2559.6508685385925,2577.271364165976
